,title,time_stamp,article
0,万达电影上半年营业收入减少7成 关停影城17家,2020年08月03日 21:38,"  8月3日,万达电影发布半年报。其中显示,受疫情影响,今年上半年,公司实现营业收入19.72亿,同比减少73.93%,归属于上市公司股东的净利润 -15.67亿。<sep>  报告称,由于公司下属影城疫情期间全部暂停营业,院线票房收入和卖品收入均大幅下滑,仅实现票房5.8亿元,同比减少88.3%。期间,公司共关停国内影城17家。未来,公司将在把防疫安全放在首位的前提下稳定有序推进影院开放和影片上映。<sep>(责编:Mia)"
0,韩星马东锡与朱莉等合影 合作漫威新片《永恒族》,2020年08月03日 11:34,"  新浪娱乐 韩国艺人马东锡昨天在SNS发布一张他在美国参加漫威电影《永恒族》拍摄时与出演该片的安吉丽娜·朱莉等其他演员的合影,吸引了人们的目光。<sep>  去年圣诞节时,马东锡与《永恒族》主演们在萨尔玛海耶克家中庆祝。安吉丽娜·朱莉、萨尔玛·海耶克 、库梅尔·南贾尼 、布莱恩·泰里·亨利等出镜。<sep>  《永恒族》原定今年11月上映,但因为疫情的原因而推迟到了明年2月12日。吕东垠/文 版权所有Mydaily禁止转载<sep>(责编:肉圆)"
0,韩影票房:《铁雨2》夺冠 《少年的你》仍然在榜,2020年08月03日 15:07,"  <sep>  名次 片名 上映时间 占有率 周末人次 累计人次<sep>  1[20]<sep> 2020/07/29 62.3% 662,807 1,020,135<sep>  2[1]<sep> 2020/07/15 28.4% 303,276 3,438,923<sep>  3[2]<sep> 2019/05/23 2.2% 28,812 12,676,450<sep>  4[新]<sep> 2020/07/29 2.1% 25,196 31,573<sep>  5[8]<sep> 2020/07/09 0.5% 5,875 58,522<sep>  6[9]<sep> 2020/06/17 0.4% 4,577 409,374<sep>  7[新]<sep> 2017/03/30 0.4% 4,550 6,745<sep>  8[4]<sep> 2020/07/08 0.4% 4,123 174,468<sep>  9[3] <sep> 2020/06/24 0.1% 3,758 1,900,368<sep>  10[58]《圣朱迪》 2020/07/29 0.3% 3,012 4,709<sep>  韩国最新票房榜出炉,郑雨盛、郭度沅、柳延锡出演的梁宇皙执导的<sep>续作<sep>新片上榜,凭借超过6成的市场占有率冲上榜单冠军位置。电影故事源自导演梁宇皙所创作的超人气网络漫画<sep>,讲述南韩总统、北韩领导人与美国总统三大元首为达成和平协议破天荒举办了全球瞩目的高峰会谈,而过程中北韩护卫总局局长却突然发动武装政变,将三大元首绑架到一艘核子潜艇上,面对南北韩僵局、中美角力和日本的钳制,全球战争一触即发的故事。影片在刚刚过去的周末共吸引超过66万人走进电影院,上映首周观众数突破百万大关。<sep>  <sep>上映第三个周末,降至榜单第二位,市场占有率将近三成。在刚刚过去的周末,<sep>再次吸引30万人观影,这一数据约为上周同期的一半,影片上映半个月累计观众数突破340万人次。<sep>顺次降至榜单第三位,凭借2.8万观众的支持,将影片累积的观众数改写为1267万,继续排在影史第12位。<sep>  中国动画片<sep>新片上榜排在第四位,周末三天里有2.5万观众选择了这部影片。易烊千玺、周冬雨主演的影片<sep>在榜单逆行,跃升三个榜位本周排在榜单的第五位,影片在韩国上映近一个月,累积观众数逼近6万人次。皮克斯动画电影<sep>继续紧随其后,本周升至榜单第六位,影片在韩上映的第七个周末共吸引4577人观影。<sep>  大卫·雷奇、查德·斯塔尔斯基联袂执导的动作惊悚片<sep>新片上榜排在第七位,该片由基努·里维斯、迈克尔·恩奎斯特、阿尔菲·艾伦、阿德琳妮·帕里奇、布丽姬·穆娜、迪恩·文特斯、伊恩·麦柯肖恩、约翰·雷吉扎莫、威廉·达福主演,讲述了一位失去一切的退休杀手约翰·威克,只身杀到纽约向黑帮寻仇的故事。影片在刚刚过去的周末共吸引4550名观众。奥斯卡最佳化妆与发型设计奖的<sep>降至榜单第八位,周末三天时间里吸引4123人观影。<sep>  刘亚仁、朴信惠主演的<sep>降至榜单第九位,市场占有率只剩0.1%,上映一个月有余总观众数未能突破200万大关。根据真实事件改编的美国电影《圣朱迪》新片入榜排在榜单垫底位置,影片讲述了洛杉矶移民律师朱迪·伍德帮助一名阿富汗妇女打赢移民官司,此举改变了美国女性移民政治庇护法的故事,在刚刚过去的周末影片共吸引超过3000人观影。(雪莉天才)<sep>(责编:肉圆)"
0,网传发行通知是假的!《八佰》片方:真的尚未下发,2020年08月03日 11:10,"  新浪娱乐讯 《八佰》昨日(2日)宣布定档8月21日全国上映,之后便有该片的“发行通知”流传到网络上,显示该片以2D版本发行,片长147分钟。该片官微@电影八佰官微 今天发声辟谣,称“电影《八佰》尚未下发任何发行通知,感谢关注与支持! ”<sep>(责编:Koyo)"
0,《八佰》定档 影院复工后迎来首部华语商业新片,2020年08月02日 18:49,"  新浪娱乐讯 由管虎执导电影《八佰》重新确定档期:将于8月21日全国上映。<sep>  战争题材《八佰》由管虎执导,讲述1937年淞沪会战末期,八百壮士留守四行仓库,孤军奋战四昼夜的故事。<sep>  该片原定于2019年7月5日上映,但在上映前宣布撤档。<sep>(责编:Mia)"
0,上海补贴市民观影:观众买电影票每张立补10元,2020年08月03日 12:08,"  新浪娱乐讯 上海市从8月3日起启动“上海观影惠民季”活动,联合猫眼和淘票票两大票务平台,对市民购票进行补贴——观众在购买电影票时,可获得“立补10元”优惠,在线支付时当即扣减。该活动将持续至10月31日。(新娱/文)<sep>(责编:Koyo)"
0,曹保平不建议年轻导演拍现实主义 缺失好的类型片,2020年08月02日 12:59,"  新浪娱乐讯 8月2日,FIRST青年电影展“银幕上的现实与现实主义”论坛,导演曹保平、蔡尚君、高群书、作家/编剧刘恒出席。曹保平导演不建议年轻导演拍现实主义,因为当下不是一个特别适合现实主义表达的环境,能做到有强大的感染力、抵达人心很难。他认为是逃避和偷懒的方法,而中国非常缺失好的类型片。<sep>  曹保平:“概念还是需要厘清的,这对创作有好处。现实主义每个人对标的方式不一样,可以谈到无穷种方法,比如以意大利新现实主义的标准来讨论,可能标准就很清楚,其他时候就很混乱。<sep>  就我个人感受而言,当下现实环境里,当下不是一个特别适合现实主义表达的环境。从年轻创作者的角度来看,拍自己的生活、成长都可以是现实主义,但怎样才能有强大的感染力、抵达人心,我觉得做到的微乎其微。这是一种逃避和偷懒的方法。<sep>  从大环境和小环境来看,我都不太建议年轻创作者采用现实主义,我更建议年轻创作者拍类型片,类型片也不容易,需要技术、需要学习。<sep>  我的类型片都有自己想表达的东西,但这不是我推荐的方法,类型片是有它自身的规律性的,如果你不尊重这种规律性,可能很多地方会有让你两难的地方。我看到很多年轻导演作品都有很高远的目标,当然你是有好的东西,但你要懂得你是用什么目的去处理什么题材,不是所有题材都要有这种表达在里面。<sep>  简言之,中国现在非常缺失好的类型片,任何维度的类型片几乎都一塌糊涂,没有类型片能在世界范围内有足够能立足的作品。我非常期待更多创作者掌握类型片的方法和手段。”<sep>  (何小沁/文)<sep>(责编:小万)"
0,赵薇与李少红王小帅等导演聚餐 高举酒杯笑容灿烂,2020年08月01日 22:51,"  新浪娱乐讯 8月1日晚,赵薇在微博晒出一张她与几位导演聚餐的照片,配文“<sep>”。图中,赵薇与李少红、王小帅、张一白等导演坐在饭桌前,高举红酒杯,气氛十分融洽。<sep>(责编:小万)"
0,中国VR纪录片《我生命中的60秒》入围威尼斯影展,2020年08月01日 21:16,"  新京报讯(记者周慧晓婉)8月1日,第77届威尼斯国际电影节公布“VR竞赛单元”入围名单,来自中国的VR纪录片《我生命中的60秒》成功入围。受新冠肺炎疫情影响,本届威尼斯电影节VR竞赛单元影片将于9月2日至9月12日全部在线上放映。<sep>  《我生命中的60秒》是全球首部疫情题材VR纪录片,由来自全国32个省、市、自治区的124名拍摄者共同完成。该片从普通民众的视角,用VR技术手段360度全景记录下疫情时期2月20日上午10点我们身边一个个看似日常但又意义非凡的一分钟。创作团队想借以这个项目,表达出中国人在疫情之下生生不息的精神面貌,以求用VR记录下真实、震撼、具有临场感的当下时空。<sep>  “特殊时期创作一部VR纪录片记录人们在疫情下最真实的样子很有意义,所以我们与VeeR共同发起了‘全民全景纪录计划’。这个计划的内容是保持社交距离全程在云端完成,通过社交媒体在全中国的范围内召集创作者并远程寄送VR拍摄设备,用网盘来传输拍摄素材。把一部纪录片的创作过程变成所有人都可以参与的创作,希望用互联网来传递爱与希望。”导演万大明向记者阐述拍摄这部VR纪录片的缘起。<sep>  据悉,威尼斯电影节自第74届(2017年)开始正式设立VR竞赛单元,鼓励电影人用最新的VR技术进行电影创作,探索电影语言新的疆界,威尼斯电影节也因此成为欧洲三大电影节中第一个为VR专门设立竞赛单元的电影节。VR竞赛单元设立至今,每一年都有积极探索的中国电影人和VR技术团队参与的作品入围。<sep>  新京报记者 周慧晓婉<sep>(责编:小万)"
0,再见艾伦·帕克!我们失去了理解音乐剧的导演,2020年08月01日 18:01,"  当地时间7月31日,英国电影协会称,导演艾伦·帕克在长期患病后于伦敦去世,享年76岁。得知艾伦·帕克去世的消息,麦当娜大为伤心,在社交媒体发文悼念,称其是她所合作过的最佳导演之一,“在电影《贝隆夫人》中,他教会了我很多,促使我突破自己,并成就了这部电影!谢谢你!”<sep>  艾伦·帕克是一位多面手,身兼编剧、导演、制作人。他曾凭借《午夜快车》和《密西西比在燃烧》两次提名奥斯卡最佳导演,2013年获得英国电影学院奖终身成就奖。他的电影题材各异,喜欢尝试不同类型的作品,以保持创作的新鲜感。不过,他尤其痴迷音乐题材的作品,《龙蛇小霸王》(1976)、《迷墙》(1982)、《贝隆夫人》(1996)等都是其代表作。曾在《贝隆夫人》中合作过的作曲家安德鲁·劳埃德·韦伯听到艾伦·帕克去世的消息后,非常难过,评价其“是少数真正理解音乐剧的导演之一”。<sep>  艾伦·帕克一生共创作14部电影长片,最后一部是2003年凯文·史派西和凯特·温斯莱特主演的《大卫·戈尔的一生》。1995年,他被英国女王伊丽莎白二世任命为大英帝国司令,2002年被封为爵士。近年来,他把很多时间花在绘画上,更多地享受天伦之乐。<sep>  <sep>  1944年2月14日艾伦·帕克出生于伦敦工薪阶层聚居区伊斯灵顿,是家中独生子。母亲伊莉斯是一名裁缝,父亲威廉是《星期日泰晤士报》的送货员,后来成为一名油漆工。<sep>  艾伦·帕克进入社会后的第一份工作是广告文案,在辗转了几家广告公司后,他来到了知名的CDP广告公司。“我的志向不是成为一名电影导演,我只想成为CDP的创意总监......直到突然间,电视广告变得越来越重要,公司也发生了改变。”上世纪六七十年代,艾伦·帕克处在CDP拍广告最好的时代,他很幸运自己能成为那个世界的一部分。<sep>  在CDP期间,艾伦·帕克受到《烈火战车》(1981)制作人的鼓励,为英国青春片《两小无猜》(1971)撰写了剧本,该片制片人是大卫·普特南,艾伦·帕克之后成为导演拍摄的《龙蛇小霸王》《午夜快车》也都由普特南制作,之后两人成为终生好友。<sep>  虽然操刀了电影剧本工作,但艾伦·帕克并没有马上投身电影行业,而是成立了艾伦·帕克电影公司,依然制作广告。随着时间的推移,他才越来越多地涉足娱乐业。“当我第一次从广告界转入电影世界时,我想我对电影批评格外敏感,这在某种程度上我们并不‘站得住脚’——就好像一群庸俗的推销员在销售一件经不起推敲的知识产权证书”,他在2017年的一次采访中说,“所以我不再拍商业广告了,这样我就能成为一个认真的电影人。”<sep>  <sep>  艾伦·帕克电影产量不多,一生执导了14部故事片,其中有6部自己撰写剧本。他尤其擅长音乐题材电影的拍摄,包括《龙蛇小霸王》(1976)、《名扬四海》(1980)、《迷墙》(1982)、《追梦者》(1991)、《贝隆夫人》(1996)等。他曾说,“如果你能将音乐和影像结合在一起,那将是非常强大的”。<sep>  《迷墙》是艾伦·帕克最负盛名的一部作品,该片改编自著名摇滚乐队平克·弗洛伊德的同名音乐专辑,从头到尾都响彻着平克·弗洛伊德乐队1979年推出的《墙》组曲的音乐。从某种意义上说,该片就是《墙》的MTV,被视为当今MTV的开山鼻祖。最初艾伦·帕克只打算制作这部电影,迈克尔·塞瑞岑导演真人版,杰拉德·斯卡夫导演动画版。两人未能就这个项目形成一个统一的愿景,于是艾伦·帕克代替了迈克尔·塞瑞岑担任导演。在影片拍摄过程中,艾伦·帕克和编剧兼作曲家罗格·沃特斯之间发生了各种冲突,增加了对最终作品的厌恶程度,称之为“有史以来最昂贵的学生电影”。<sep>  1996年,艾伦·帕克拍摄了讲述艾薇塔·贝隆(阿根廷前总统胡安·贝隆的第二位夫人)生平的电影《贝隆夫人》。选角前,著名歌星麦当娜给导演艾伦·帕克写了一封长信,信中说她是这个角色的最佳人选,将自己的生活比作贝隆夫人的生活:两人小时候都失去了父母,都很年轻就来到大城市,没有钱也没有朋友,但都成功了。信中还附带了一份她的音乐单曲《Take a Bow》的MV拷贝。最终,麦当娜如愿成为了“贝隆夫人”,在片中换了85次服装,戴了39顶帽子,45双鞋,56对耳环,比1963年伊丽莎白·泰勒在电影《埃及艳后》中换的次数还多,正因为如此,麦当娜在那一年被列入了《吉尼斯世界纪录》。<sep>  艾伦·帕克回忆说,当他到达阿根廷首都布宜诺斯艾利斯时,他很快就意识到贝隆夫人对阿根廷人民是多么的重要。当地人担心他会玷污贝隆夫人的名声,到处涂鸦着“麦当娜和艾伦·帕克回家吧”。不过,该片获得了奥斯卡最佳摄影、最佳原创歌曲在内的5项大奖,也让麦当娜拿下金球奖音乐喜剧类最佳女主角,成为其高光时刻。该片的作曲家安德鲁·劳埃德·韦伯评价艾伦·帕克“是少数真正理解音乐剧的导演之一”。<sep>  <sep>  20世纪70年代后期,好莱坞正处于制片厂体制崩溃以来最具震撼性的转型之中,当时有一种被广泛谈论的趋势似乎与好莱坞新秩序非常契合——一批英国电影导演的到来——他们在英国电视广告的精英世界中磨练了自己的技艺。与美国同行相比,英国电视广告有着更为高超的技术视觉技巧。<sep>  艾伦·帕克就是从英国广告精英中“杀入”好莱坞的一名“闯入者”,另外他的英国广告兄弟还包括雷德利·斯科特、托尼·斯科特、阿德里安·莱恩等人,他们来到好莱坞后都各自发展出自己的风格,《异形》《银翼杀手》奠定了雷德利·斯科特科幻大师的地位;《壮志凌云》让托尼·斯科特成为好莱坞一线动作导演;《爱你九周半》《致命诱惑》则让阿德里安·莱恩一直探讨男女情感与道德的边界问题。<sep>  虽然,几位广告出身的英国导演都有一些共同的视觉特征,比如喜欢雾、漫射光和巧妙地拍摄一些阴暗面,但是艾伦·帕克在这方面似乎走得更远,他更愿意去挑战美学的极限。他的电影经常有一种强有力的技术光泽,一种美丽的手工艺但未被人触摸的品质。随着时间的推移,这种品质就越发凸显。<sep>  《迷墙》的海报是一张扭曲的脸,长着血盆大口仿佛在嘶吼。影片叙事手法前卫大胆,跳接、穿插、倒叙等叙事手法颠覆传统,再加上光怪陆离的声光效果,15分钟的动画穿插其中,让观众体会到战争异化、性与暴力、制度禁锢等多义主题,即便放在当下,这部电影在美学上仍然很前卫。<sep>  1984年的《鸟人》采用环形叙事,讲述了一个憧憬自己能化成飞鸟的少年,因为越战爆发而去参军,最终因在战场上失去理智而被送进医院的故事。虽然是战争题材,但艾伦·帕克一反往常的反战题材,把目光对准战后对主人公造成的心灵伤害,题材处理上不落窠臼。<sep>  “我从24岁就开始当导演,无论是和持有不同观点的制片人,还是制片公司,每天都是一场战斗,每一天都很艰难”,他说,“电影非常昂贵,一旦它变得昂贵,你就必须为那些人服务”。不过,艾伦·帕克一辈子都在为自己的权利而战,以他想要的方式来拍电影,“我对自己的工作有绝对的控制权,尽管我在好莱坞机器中一个非常困难的领域工作,但他们没有干涉我所做的事情,因此如果我的电影很好或者不受欢迎,那不是别人的错,而是我的错。”<sep>  新京报记者 滕朝<sep>(责编:小万)"
